,glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,glycan_type,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition
29621,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G02965FR,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 8, 'Neu5Ac': 1, 'dHex': 4}"
29622,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G26162GM,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 7, 'Neu5Gc': 1, 'dHex': 3}"
29623,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G86051JF,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 7, 'Neu5Gc': 1, 'dHex': 4}"
29624,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G82572NM,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 8, 'Neu5Gc': 1, 'dHex': 3}"
29625,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G39468IN,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 8, 'Neu5Gc': 1, 'dHex': 4}"
29626,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(?1-?)Gal(b1-?)GlcNAc(?1-?)[GalNAc(b1-?)GlcNAc(b1-?)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G39918VF,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 8, 'dHex': 1}"
29627,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(?1-?)Gal(b1-?)GlcNAc(?1-?)[GalNAc(b1-?)GlcNAc(b1-?)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G13835ML,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 8, 'dHex': 2}"
29628,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(?1-?)Gal(b1-?)GlcNAc(?1-?)[GalNAc(b1-?)GlcNAc(b1-?)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G86249HU,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 9, 'dHex': 1}"
29629,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(?1-?)Gal(b1-?)GlcNAc(?1-?)[GalNAc(b1-?)GlcNAc(b1-?)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G10414AO,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 9, 'dHex': 2}"
29630,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GalNAc(?1-?)GlcNAc(?1-?)[Gal(b1-?)GlcNAc(b1-?)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G69076OQ,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 8, 'dHex': 1}"
