,feature,mz,tier,consensus,max_abs_d,norm_d,norm_lasso,lasso_sel,n_contrasts
1,FT-030,943.6407760815548,Tier 1 - Core discriminators,0.7929979017362745,7.395620291970032,0.5859958034725489,1.0,True,3
2,FT-050,1004.669623849698,Tier 1 - Core discriminators,0.6612863892143396,12.199013417498069,1.0,0.3225727784286791,True,3
3,FT-043,1005.172041771252,Tier 1 - Core discriminators,0.6494991892481926,10.580434540523271,0.8604947731808664,0.4385036053155188,True,3
4,FT-046,1004.1671268211272,Tier 1 - Core discriminators,0.6368118501956074,11.879909759142695,0.9724964727570858,0.3011272276341289,True,3
5,FT-221,1005.6756059707232,Tier 1 - Core discriminators,0.5710509979750233,8.965678201448485,0.7213190106988449,0.4207829852512017,True,3
6,FT-176,871.0972026876352,Tier 1 - Core discriminators,0.43500625893717715,7.714002203645463,0.6134371234077292,0.2565753944666251,True,3
7,FT-016,870.5947196667247,Tier 1 - Core discriminators,0.42824832114660205,7.438482496513963,0.5896900945892383,0.2668065477039659,True,3
8,FT-071,1150.7515985354444,Tier 2 - Supporting markers,0.30356874778947607,7.640912149824894,0.6071374955789521,0.0,False,3
9,FT-067,1150.251969729645,Tier 2 - Supporting markers,0.29202569099590814,7.3730605670879665,0.5840513819918163,0.0,False,3
10,FT-070,1150.753810446541,Tier 2 - Supporting markers,0.27797247740647885,7.046961894111999,0.5559449548129577,0.0,False,3
11,FT-021,842.0756790432796,Tier 2 - Supporting markers,0.26497000533062554,5.4247082580510915,0.4161230007047769,0.11381700995647413,True,3
12,FT-027,944.1420067072388,Tier 2 - Supporting markers,0.2641776871560039,6.726859821654679,0.5283553743120079,0.0,False,3
13,FT-114,1151.256806499619,Tier 2 - Supporting markers,0.2570928900866824,6.562460205303042,0.5141857801733648,0.0,False,3
14,FT-064,1149.7500936653876,Tier 2 - Supporting markers,0.25661281178101586,6.5513201982572395,0.5132256235620317,0.0,False,3
15,FT-024,944.6434806058312,Tier 2 - Supporting markers,0.252918179226492,6.465587866253811,0.505836358452984,0.0,False,3
16,FT-053,1097.723992703951,Tier 2 - Supporting markers,0.2412826442151531,6.195590366933294,0.4825652884303062,0.0,False,3
17,FT-140,1223.2883799925703,Tier 2 - Supporting markers,0.23475727236370947,5.327642474339031,0.40775690599925535,0.061757638728163575,True,2
18,FT-049,1097.2225774589213,Tier 2 - Supporting markers,0.2210175107012408,5.725346809862587,0.4420350214024816,0.0,False,3
19,FT-218,945.1499525476456,Tier 2 - Supporting markers,0.21987491974828807,5.6988334866898365,0.43974983949657614,0.0,False,3
20,FT-220,1098.2292261588002,Tier 2 - Supporting markers,0.21341333029421572,5.548895130392921,0.42682666058843144,0.0,False,3
21,FT-065,1149.7477835102598,Tier 2 - Supporting markers,0.2095800521283437,5.459945587636461,0.4191601042566874,0.0,False,3
22,FT-052,1069.2070748658969,Tier 2 - Supporting markers,0.2034896430167157,5.3186203087923,0.4069792860334314,0.0,False,3
23,FT-232,1151.7625057823254,Tier 2 - Supporting markers,0.19930244149478038,5.221458129402019,0.39860488298956076,0.0,False,3
24,FT-147,1633.0436758967032,Tier 2 - Supporting markers,0.1924892411760113,5.063360796821716,0.3849784823520226,0.0,False,3
25,FT-025,843.080105891697,Tier 2 - Supporting markers,0.18902933321369036,4.9830751462869145,0.37805866642738073,0.0,False,3
26,FT-020,842.5773942493681,Tier 2 - Supporting markers,0.18123063843967668,4.802109846032501,0.36246127687935337,0.0,False,3
27,FT-068,1150.2524730526775,Tier 2 - Supporting markers,0.180296295004574,4.7804288154019,0.360592590009148,0.0,False,3
28,FT-193,1068.7043278235449,Tier 2 - Supporting markers,0.17496010228429595,4.65660479794474,0.3499202045685919,0.0,False,3
29,FT-014,843.583190546885,Tier 2 - Supporting markers,0.17288958143420305,4.608559267483846,0.3457791628684061,0.0,False,3
30,FT-032,923.6242483918668,Tier 2 - Supporting markers,0.17119360535425493,4.569204884548539,0.34238721070850986,0.0,False,2
31,FT-045,923.1220202532094,Tier 2 - Supporting markers,0.16865457897164304,4.510287888179573,0.3373091579432861,0.0,False,2
32,FT-175,844.0870342319306,Tier 2 - Supporting markers,0.16382017039509517,4.398107552244046,0.32764034079019033,0.0,False,3
33,FT-100,1222.7890111601405,Tier 2 - Supporting markers,0.16215343991775502,4.359431800722127,0.32430687983551004,0.0,False,2
34,FT-037,1025.6898265569414,Tier 2 - Supporting markers,0.15865775240769206,3.7039498238596806,0.2678109233153303,0.04950458150005381,True,3
35,FT-036,924.1258325459404,Tier 2 - Supporting markers,0.15409671862136098,4.1724791079040555,0.30819343724272197,0.0,False,2
36,FT-035,924.1258165788284,Tier 2 - Supporting markers,0.15148563734519016,4.11189010925451,0.3029712746903803,0.0,False,3
37,FT-031,923.62339275087,Tier 2 - Supporting markers,0.1447234065447496,3.9549755020475454,0.2894468130894992,0.0,False,3
38,FT-104,1222.2864765177096,Tier 2 - Supporting markers,0.14256006004887145,3.9047759930879917,0.2851201200977429,0.0,False,2
39,FT-250,1069.708344315076,Tier 2 - Supporting markers,0.1422187411043738,3.896855836310045,0.2844374822087476,0.0,False,3
40,FT-044,923.1212556300736,Tier 2 - Supporting markers,0.14065966700041493,3.8606782038321183,0.28131933400082987,0.0,False,3
41,FT-033,924.6276314779026,Tier 2 - Supporting markers,0.13679129014617844,3.7709142113680505,0.2735825802923569,0.0,False,3
42,FT-115,1151.2577144686827,Tier 2 - Supporting markers,0.13475032920094798,3.723554605566851,0.26950065840189596,0.0,False,3
43,FT-059,1223.7919594716086,Tier 2 - Supporting markers,0.13322147908865506,3.6880783075923516,0.2664429581773101,0.0,False,2
44,FT-034,924.6284568794596,Tier 2 - Supporting markers,0.12819523174260186,3.5714464369410854,0.2563904634852037,0.0,False,2
45,FT-039,1024.6867091528734,Tier 2 - Supporting markers,0.12794070129527588,3.5655401692695103,0.25588140259055175,0.0,False,3
46,FT-187,931.6249044842097,Tier 2 - Supporting markers,0.11519596200377143,3.269804069911395,0.23039192400754285,0.0,False,3
47,FT-189,931.123020951668,Tier 2 - Supporting markers,0.11517180184325371,3.2692434439567992,0.23034360368650741,0.0,False,2
48,FT-041,1025.1883020825835,Tier 2 - Supporting markers,0.11466580328974131,3.2575019689,0.22933160657948262,0.0,False,3
49,FT-026,727.9951742528884,Tier 2 - Supporting markers,0.10972286477578948,3.142803243249524,0.21944572955157896,0.0,False,2
50,FT-179,728.4969707230775,Tier 2 - Supporting markers,0.10389190235776581,3.00749831142094,0.20778380471553162,0.0,False,2
51,FT-248,925.1361960129163,Tier 2 - Supporting markers,0.10034127432268758,2.925107541288391,0.20068254864537516,0.0,False,3
52,FT-207,1034.6551417461487,Tier 2 - Supporting markers,0.1000260914897649,2.917793861544834,0.2000521829795298,0.0,False,3
53,FT-054,1106.2349666883931,Tier 2 - Supporting markers,0.08832953115633828,2.6463802963242213,0.17665906231267656,0.0,False,2
54,FT-077,1077.705946239623,Tier 2 - Supporting markers,0.08722865976119192,2.620835057237806,0.17445731952238383,0.0,False,2
